LAD21C,LAD21NM,LA_code_old_2011,REGN21NM,REGN21CD,country,country_code,budget_2021_75,child_population_2021,total_population_2021,perc_child_population_2021,child_population_2011,change_child_population,perc_child_em_population_2021,fsm_eligible_percent_aut202021,imd_avg_rank,imd_rank_avg_rank_london,imd_10pc,imd_rank_10pc_london,idaci_avg_rank,idaci_rank_avg_rank_london,idaci_10pc,idaci_rank_10pc_london,ofsted_date_1,ofsted_overall_1,ofsted_date_2,ofsted_overall_2,ofsted_change,sen_support_percent202122,ehc_plan_percent202122,cin_refs_202122,cin_refs_202122_rate_10000,cin_at31_episodes_2022,cin_at31_episodes_2022_rate_10000,cla_at31_2022,cla_starts_202122,cla_at31_2022_rate_10000,cla_starts_202122_rate_10000,has_cc,number_cc,has_fh,number_fh,fh_notes
E09000001,City of London,201,London,E12000007,England,E92000001,0,631,8618,7.3,684,0.92,,12.82051282,12420.52,28,0,28,7398.4,33,0,31,2016,2,2020,1,1,13.56818975,0.313916986,60,950.9,95,1505.5,10,8,158.5,126.8,1,1,0,,
E09000002,Barking and Dagenham,301,London,E12000007,England,E92000001,1,63332,218534,29,53814,1.18,77.6,20.85602241,25551.85,1,3.64,7,24727.8,3,0.0545,18,2014,3,2019,3,0,11.70686333,3.477066862,6148,970.8,3323,524.7,413,196,65.2,30.9,1,6,0,,
E09000003,Barnet,302,London,E12000007,England,E92000001,0,89135,388639,22.9,83214,1.07,64,16.4379693,13803.35,25,0.47,22,14486.14,27,0.0047,28,2017,4,2019,2,2,10.62344068,3.624788506,2885,323.7,1842,206.7,333,196,37.4,22,1,11,0,,
E09000004,Bexley,303,London,E12000007,England,E92000001,0,56525,246543,22.9,54201,1.04,44.8,15.1083394,13529.71,26,0,28,17481.41,22,0.0205,26,2014,3,2018,1,2,10.39167769,3.780014797,3620,640.4,1938,342.9,234,116,41.4,20.5,1,5,0,,
E09000005,Brent,304,London,E12000007,England,E92000001,1,72932,338918,21.5,70453,1.04,86.1,14.94116669,21083.02,11,5.78,4,20216.7,13,0.0405,20,2015,3,2018,2,1,10.31628146,3.99065217,4669,640.2,3002,411.6,341,218,46.8,29.9,0,,1,8,
E09000006,Bromley,305,London,E12000007,England,E92000001,0,72486,329830,22,68658,1.06,40.8,12.8661286,11297.45,31,0.51,21,13714.05,29,0.066,15,2016,4,2018,2,2,11.69140177,4.337629881,4032,556.2,2614,360.6,328,113,45.3,15.6,1,6,0,,
E09000007,Camden,202,London,E12000007,England,E92000001,1,36467,210390,17.3,39003,0.93,70,34.42162064,16763.28,19,0,28,19570.6,15,0.0977,9,2017,2,2022,1,1,13.87957751,3.500727342,1844,505.7,1612,442,191,140,52.4,38.4,1,8,0,,
E09000008,Croydon,306,London,E12000007,England,E92000001,1,89983,390506,23,89216,1.01,71.7,25.54523564,18371.23,17,2.27,12,19856.54,14,0.0636,16,2017,4,2020,2,2,13.098152,3.983600538,4762,529.2,3481,386.9,550,247,61.1,27.4,1,9,0,,
E09000009,Ealing,307,London,E12000007,England,E92000001,0,80014,366127,21.9,76787,1.04,79.2,19.84033552,18991.69,14,2.04,14,18645.1,18,0.0357,22,2016,2,2019,3,-1,10.37740624,4.42022506,4383,547.8,2293,286.6,328,165,41,20.6,1,25,0,,
E09000010,Enfield,308,London,E12000007,England,E92000001,1,81723,329601,24.8,78886,1.04,74.7,21.803645,20418.65,12,5.46,5,22900.69,8,0.071,13,2015,2,2019,2,0,10.34934197,4.966237167,5159,631.3,3095,378.7,386,211,47.2,25.8,1,5,0,,
E09000011,Greenwich,203,London,E12000007,England,E92000001,1,65637,289254,22.7,61458,1.07,66.1,21.63390166,20383.77,13,0.66,20,22419.97,9,0.0662,14,2016,2,2019,2,0,14.52620259,3.923150101,3601,548.6,2291,349,459,166,69.9,25.3,1,23,0,,
E09000012,Hackney,204,London,E12000007,England,E92000001,1,55722,259956,21.4,56468,0.99,67.3,34.83428044,25312.57,2,11.11,1,24450.08,4,0.2361,2,2016,2,2019,3,-1,13.6854928,4.877076412,5031,902.9,3094,555.3,405,163,72.7,29.3,1,21,0,,
E09000013,Hammersmith and Fulham,205,London,E12000007,England,E92000001,0,31802,183295,17.4,32563,0.98,66.8,24.68532146,18643.47,16,0.88,16,19070.4,17,0.0973,10,2016,2,2019,2,0,11.90273826,5.103285171,1885,592.7,1452,456.6,216,104,67.9,32.7,1,12,0,,
E09000014,Haringey,309,London,E12000007,England,E92000001,1,54320,264130,20.6,57566,0.94,68.2,21.09194657,21887.62,7,9.66,2,21006.94,12,0.1103,6,2014,3,2018,3,0,12.53686614,4.373989154,3379,622.1,2151,396,387,151,71.2,27.8,1,9,0,,
E09000015,Harrow,310,London,E12000007,England,E92000001,0,58069,260987,22.2,54762,1.06,85.6,13.6711457,13071.33,27,0,28,14725.6,25,0,31,2017,2,2020,2,0,9.735822473,3.449571445,3028,521.4,1918,330.3,188,113,32.4,19.5,0,,1,2,
E09000016,Havering,311,London,E12000007,England,E92000001,0,58539,262022,22.3,50970,1.15,42.9,16.04551288,14036,24,0.67,19,17591.68,21,0.0333,23,2016,3,2018,2,1,8.226477935,3.442369454,3267,558.1,1574,268.9,264,146,45.1,24.9,1,6,0,,
E09000017,Hillingdon,312,London,E12000007,England,E92000001,0,71096,304792,23.3,64443,1.1,71.4,16.86147393,15515.03,21,0,28,18013.76,20,0.0124,27,2013,3,2018,2,1,10.4669774,4.361973441,3709,521.7,2677,376.5,408,346,57.4,48.7,1,14,0,,
E09000018,Hounslow,313,London,E12000007,England,E92000001,1,65994,287940,22.9,57629,1.15,75.6,19.01802084,18652.53,15,0.7,18,19223.04,16,0.0493,19,2014,3,2018,2,1,13.81790808,4.129898373,3241,491.1,1940,294,296,180,44.9,27.3,1,10,0,,
E09000019,Islington,206,London,E12000007,England,E92000001,1,36532,216767,16.9,36319,1.01,65.6,36.4040925,22490.24,5,4.88,6,25959.94,2,0.2927,1,2017,2,2020,1,1,14.94032651,5.660000798,2370,648.7,2087,571.3,385,202,105.4,55.3,1,16,0,,
E09000020,Kensington and Chelsea,207,London,E12000007,England,E92000001,0,22832,143940,15.9,26729,0.85,69.8,27.52149533,17177.54,18,8.74,3,12342.91,30,0.1068,8,2016,1,2019,1,0,11.55961061,3.596594843,2257,988.5,806,353,101,77,44.2,33.7,1,6,0,,
E09000021,Kingston upon Thames,314,London,E12000007,England,E92000001,0,36421,167845,21.7,33862,1.08,50.2,11.03023936,9412.29,32,0,28,11890.7,31,0,31,2015,2,2019,1,1,9.935887213,3.967975503,1391,381.9,1002,275.1,133,71,36.5,19.5,1,4,0,,
E09000022,Lambeth,208,London,E12000007,England,E92000001,1,54278,317498,17.1,60427,0.9,72.9,30.48154093,21351.38,8,0,28,23407.73,7,0.1236,4,2018,3,2022,3,0,13.76776465,5.495879366,3164,582.9,2993,551.4,402,215,74.1,39.6,1,16,0,,
E09000023,Lewisham,209,London,E12000007,England,E92000001,1,64401,299810,21.5,63647,1.01,70.4,21.53180662,21959.25,6,2.96,9,23633.93,6,0.1124,5,2015,3,2019,3,0,14.52474277,4.64233219,4365,677.8,2776,431,465,203,72.2,31.5,1,3,0,,
E09000024,Merton,315,London,E12000007,England,E92000001,0,46972,215324,21.8,43442,1.08,62.5,20.66210455,12224.63,29,0,28,14643.91,26,0.0242,25,2017,2,2022,1,1,13.02158494,5.087660045,2356,501.6,1233,262.5,122,54,26,11.5,1,10,0,,
E09000025,Newham,316,London,E12000007,England,E92000001,1,83684,350626,23.9,78115,1.07,90.5,24.89570591,24138.7,3,2.44,10,22333.34,10,0.0366,21,2019,4,2022,2,2,10.21570214,2.460805715,4878,582.9,3232,386.2,431,236,51.5,28.2,1,10,1,1,fh virtual
