LAD21NM,LAD21C,imd_avg_rank,imd_rank_avg_rank_london,imd_10pc,imd_rank_10pc_london,idaci_avg_rank,idaci_rank_avg_rank_london,idaci_10pc,idaci_rank_10pc_london
City of London,E09000001,12420.52,28,0,28,7398.4,33,0,31
Barking and Dagenham,E09000002,25551.85,1,3.64,7,24727.8,3,0.0545,18
Barnet,E09000003,13803.35,25,0.47,22,14486.14,27,0.0047,28
Bexley,E09000004,13529.71,26,0,28,17481.41,22,0.0205,26
Brent,E09000005,21083.02,11,5.78,4,20216.7,13,0.0405,20
Bromley,E09000006,11297.45,31,0.51,21,13714.05,29,0.066,15
Camden,E09000007,16763.28,19,0,28,19570.6,15,0.0977,9
Croydon,E09000008,18371.23,17,2.27,12,19856.54,14,0.0636,16
Ealing,E09000009,18991.69,14,2.04,14,18645.1,18,0.0357,22
Enfield,E09000010,20418.65,12,5.46,5,22900.69,8,0.071,13
Greenwich,E09000011,20383.77,13,0.66,20,22419.97,9,0.0662,14
Hackney,E09000012,25312.57,2,11.11,1,24450.08,4,0.2361,2
Hammersmith and Fulham,E09000013,18643.47,16,0.88,16,19070.4,17,0.0973,10
Haringey,E09000014,21887.62,7,9.66,2,21006.94,12,0.1103,6
Harrow,E09000015,13071.33,27,0,28,14725.6,25,0,31
Havering,E09000016,14036,24,0.67,19,17591.68,21,0.0333,23
Hillingdon,E09000017,15515.03,21,0,28,18013.76,20,0.0124,27
Hounslow,E09000018,18652.53,15,0.7,18,19223.04,16,0.0493,19
Islington,E09000019,22490.24,5,4.88,6,25959.94,2,0.2927,1
Kensington and Chelsea,E09000020,17177.54,18,8.74,3,12342.91,30,0.1068,8
Kingston upon Thames,E09000021,9412.29,32,0,28,11890.7,31,0,31
Lambeth,E09000022,21351.38,8,0,28,23407.73,7,0.1236,4
Lewisham,E09000023,21959.25,6,2.96,9,23633.93,6,0.1124,5
Merton,E09000024,12224.63,29,0,28,14643.91,26,0.0242,25
Newham,E09000025,24138.7,3,2.44,10,22333.34,10,0.0366,21
Redbridge,E09000026,15082.62,22,0,28,16286.23,24,0,31
Richmond upon Thames,E09000027,7159.19,33,0,28,7991.16,32,0,31
Southwark,E09000028,21247.36,9,3.01,8,23755.66,5,0.1566,3
Sutton,E09000029,11415.25,30,0.83,17,14150.79,28,0.0331,24
Tower Hamlets,E09000030,22507.05,4,1.39,15,26272.2,1,0.0972,11
Waltham Forest,E09000031,21186.64,10,2.08,13,21279.53,11,0.0556,17
Wandsworth,E09000032,14312.18,23,0,28,16321.69,23,0.0838,12
Westminster,E09000033,16573.82,20,2.34,11,18195.2,19,0.1094,7
